seed,t,model,phase,window,accuracy,loss,rho,diff,persistence,fast_mismatch,baseline_mismatch,a_n_distance,n_move_from_temp_start,n_move_from_shift_start
0,1996,IDLGated,stable,other,1.0,0.03585474193096161,0.0035985985305160284,0.1009681819680079,0.04254647555622731,0.1265279063047423,0.4005498470926511,0.04309918612514354,0.2610769311655875,0.0
0,1997,MLP,stable,other,0.921875,0.23528903722763062,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1997,ChevronSlow,stable,other,0.921875,0.23932000994682312,1.0,0.15468812482156616,0.03833367008005443,0.18102608630150188,0.3627316099032957,0.04603473187469069,0.18928863449141595,0.0
0,1997,IDLGated,stable,other,0.921875,0.2367788851261139,0.003562170546501875,0.12030275626561808,0.04220610375177749,0.12627890030317734,0.4002696000018241,0.043187628918068266,0.2610781889580999,0.0
0,1998,MLP,stable,other,0.96875,0.14670871198177338,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1998,ChevronSlow,stable,other,0.96875,0.14447550475597382,1.0,0.13359501782144745,0.03802700071941399,0.1791288435622997,0.3625024733112139,0.04584919952706877,0.18944001637348862,0.0
0,1998,IDLGated,stable,other,0.96875,0.14160750806331635,0.003526396118104458,0.08454108053448436,0.04186845492176327,0.12460938751242963,0.3999538714823567,0.04322219561811648,0.2610794048184352,0.0
0,1999,MLP,stable,other,0.984375,0.10665231198072433,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1999,ChevronSlow,stable,other,0.984375,0.09248543530702591,1.0,0.14605188568880312,0.03772278471365868,0.17780576524735983,0.36228602272359145,0.04566317366561792,0.18960134465063194,0.0
0,1999,IDLGated,stable,other,0.984375,0.09088169783353806,0.0034912622068077326,0.10942304077977771,0.041533507282389165,0.12400193364312356,0.39966334065165415,0.04325824505188404,0.2610806730805099,0.0
0,2000,MLP,stable,other,0.96875,0.19282913208007812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2000,ChevronSlow,stable,other,0.96875,0.18935391306877136,1.0,0.1477764165115995,0.03742100243594941,0.1766045912979294,0.36207151311737945,0.04549013273183801,0.18975670250383284,0.0
0,2000,IDLGated,stable,other,0.953125,0.18723231554031372,0.0034567529801279306,0.12653656977343888,0.04120123922413005,0.12410331908833618,0.39939021388077595,0.04331615037504159,0.26108190989213675,0.0
0,2001,MLP,stable,other,0.953125,0.16681388020515442,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2001,ChevronSlow,stable,other,0.953125,0.16136473417282104,1.0,0.15991923033752573,0.03712163441646182,0.17593717685951327,0.3618693608345996,0.045325957939876226,0.18989953359697162,0.0
0,2001,IDLGated,stable,other,0.953125,0.16080234944820404,0.0034228567965328693,0.14767112421807319,0.040871629310337006,0.12504603129352565,0.39913849479111324,0.04337114905979931,0.26108305236546764,0.0
0,2002,MLP,stable,other,0.953125,0.18728020787239075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2002,ChevronSlow,stable,other,0.953125,0.18705657124519348,1.0,0.14535760564320735,0.03682466134113012,0.17471399401086102,0.3616528490794082,0.0451308695190599,0.19002874293949634,0.0
0,2002,IDLGated,stable,other,0.953125,0.1868577003479004,0.0033895575907081366,0.11597212932036925,0.04054465627585431,0.1246830752145994,0.3988553284256425,0.04340652906910659,0.26108410050174097,0.0
0,2003,MLP,stable,other,1.0,0.047802433371543884,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2003,ChevronSlow,stable,other,1.0,0.03969907388091087,1.0,0.15464568509256474,0.03653006405040108,0.17391126165412918,0.36144584191542134,0.044938608864509386,0.1901705135227223,0.0
0,2003,IDLGated,stable,other,1.0,0.03957013413310051,0.00335684628225863,0.1444342581907976,0.04022029902564748,0.1254731225336473,0.3986009073554076,0.04342027043806359,0.261085242965486,0.0
0,2004,MLP,stable,other,0.953125,0.22080998122692108,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2004,ChevronSlow,stable,other,0.953125,0.2294834405183792,1.0,0.15177199586273737,0.03623782353799787,0.1730256910224735,0.36123616806936865,0.04475688254252154,0.19030890722984442,0.0
0,2004,IDLGated,stable,other,0.953125,0.22504758834838867,0.003324705408886075,0.12274278962448859,0.0398985366334423,0.12536390921728097,0.3983250492376767,0.043449657170536504,0.2610863225367245,0.0
0,2005,MLP,stable,other,1.0,0.0417584553360939,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2005,ChevronSlow,stable,other,1.0,0.035904303193092346,1.0,0.16025332695967057,0.03594792094969389,0.1725147964599614,0.36103518522825895,0.04456974930823814,0.19045879569705312,0.0
0,2005,IDLGated,stable,other,1.0,0.03494476154446602,0.003293124958872795,0.11205172344978727,0.039579348340374756,0.12483142178658121,0.3980387759118888,0.04349717608949304,0.2610874754719528,0.0
0,2006,MLP,stable,other,0.96875,0.14581353962421417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2006,ChevronSlow,stable,other,0.96875,0.142121821641922,1.0,0.13699733936448566,0.03566033758209634,0.17109409817614235,0.36081114738239517,0.0443925061483851,0.1906148544315147,0.0
0,2006,IDLGated,stable,other,0.96875,0.1376979649066925,0.0032620944548398256,0.11125166905970847,0.03926271355365176,0.1242882316775063,0.39775198880503665,0.04356096181288109,0.2610886808078843,0.0
0,2007,MLP,stable,other,0.96875,0.13428208231925964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2007,ChevronSlow,stable,other,0.96875,0.13326624035835266,1.0,0.14049433597130498,0.03537505488143956,0.16987010768794886,0.36059083057098407,0.044224092434140015,0.19077850268853241,0.0
0,2007,IDLGated,stable,other,0.96875,0.13075017929077148,0.003231598297134042,0.13557630249435887,0.038948611845222546,0.12473975451018039,0.39748981311872594,0.04362853738915776,0.26108989661936044,0.0
0,2008,MLP,stable,other,0.984375,0.09306230396032333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2008,ChevronSlow,stable,other,0.984375,0.09569817036390305,1.0,0.14661011106680327,0.03509205444238805,0.16893970782310302,0.3603768498514799,0.044066478253453424,0.19094430373787813,0.0
0,2008,IDLGated,stable,other,0.984375,0.09336529672145844,0.0032016264740377665,0.16010643069302785,0.038637022950460766,0.1261544215574943,0.39725242973630026,0.04371098919269931,0.26109109146305376,0.0
0,2009,MLP,stable,other,0.953125,0.12997673451900482,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2009,ChevronSlow,stable,other,0.953125,0.1295846849679947,1.0,0.13363336248333582,0.034811318006848946,0.16752745400951233,0.36015010636411177,0.04392066579414692,0.19110253637565283,0.0
0,2009,IDLGated,stable,other,0.953125,0.12498816102743149,0.003172170137986541,0.11570881237430755,0.038327926766857076,0.12573659719016683,0.39697088611893827,0.043806124959725544,0.2610922758202658,0.0
0,2010,MLP,stable,other,0.96875,0.09702357649803162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2010,ChevronSlow,stable,other,0.96875,0.09488308429718018,1.0,0.16011559539054446,0.03453282746279415,0.16723097966475362,0.3599500718531382,0.043779518878918074,0.19126161818454562,0.0
0,2010,IDLGated,stable,other,0.984375,0.09682946652173996,0.0031432155519723892,0.1130691301488044,0.03802130335272222,0.12522989850851232,0.3966869843629681,0.04389319982445447,0.26109347065307115,0.0
0,2011,MLP,stable,other,1.0,0.059286925941705704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2011,ChevronSlow,stable,other,1.0,0.05234150215983391,1.0,0.1646940190222881,0.0342565648430918,0.167129501239055,0.3597548158003074,0.04363436239661954,0.19142299091120085,0.0
0,2011,IDLGated,stable,other,1.0,0.05171414464712143,0.0031147522386163473,0.14604896947244245,0.03771713292590044,0.12606266134706953,0.3964363463480776,0.04399409214649976,0.2610947178849912,0.0
0,2012,MLP,stable,other,0.921875,0.2484128624200821,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2012,ChevronSlow,stable,other,0.921875,0.2592776417732239,1.0,0.16109046080598677,0.03398251232434707,0.1668879396217323,0.35955615144531305,0.04349153130148308,0.19157889271522638,0.0
0,2012,IDLGated,stable,other,0.9375,0.2553998827934265,0.0030867706518620253,0.13245639967037257,0.037415395862493234,0.12631841088000165,0.3961723664013999,0.0441073363883313,0.2610959231874885,0.0
0,2013,MLP,stable,other,0.953125,0.25967156887054443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2013,ChevronSlow,stable,other,0.953125,0.2540948987007141,1.0,0.1577060013320929,0.03371065222575229,0.16652066209014674,0.3593543012951998,0.04335688917029488,0.19172327091268934,0.0
0,2013,IDLGated,stable,other,0.953125,0.2415856271982193,0.0030592619441449642,0.11952162017826089,0.037116072695593284,0.12604653925193202,0.3958957156551768,0.04422267114409301,0.2610970865611435,0.0
0,2014,MLP,stable,other,0.96875,0.18122588098049164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2014,ChevronSlow,stable,other,0.96875,0.1684817522764206,1.0,0.15233120609107592,0.03344096700794627,0.1659530838501839,0.3591472781999957,0.04321796335607533,0.1918685174462639,0.0
0,2014,IDLGated,stable,other,0.96875,0.16429831087589264,0.0030322126112878323,0.12900988535349295,0.036819144114028535,0.12616507309599445,0.3956288298248751,0.04432805919545151,0.26109824992961483,0.0
