seed,t,model,phase,window,accuracy,loss,rho,diff,persistence,fast_mismatch,baseline_mismatch,a_n_distance,n_move_from_temp_start,n_move_from_shift_start
5,3784,IDLGated,persistent_shift,shift_adaptation_350,0.9375,0.16210857033729553,1.0,1.0718593260164266,0.9400566387960815,1.1859280124049019,0.6484567985967867,0.11653864931583739,0.41912778566391745,0.2654028852500901
5,3785,MLP,persistent_shift,shift_adaptation_350,0.921875,0.26170212030410767,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3785,ChevronSlow,persistent_shift,shift_adaptation_350,0.953125,0.22587569057941437,1.0,0.8943325451596125,0.7068045882483404,0.9932501216003174,0.3217822277844764,0.16536052434001658,0.31854592371274404,0.162341216872454
5,3785,IDLGated,persistent_shift,shift_adaptation_350,0.90625,0.30325204133987427,1.0,0.9359526615743056,0.9367536633170082,1.175928998371678,0.6487442944597642,0.11572850138367681,0.4197132295979407,0.2662395444927112
5,3786,MLP,persistent_shift,shift_adaptation_350,0.890625,0.2914775609970093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3786,ChevronSlow,persistent_shift,shift_adaptation_350,0.9375,0.2079969346523285,1.0,0.8700962408560016,0.7064780989389375,0.9883239663705449,0.32233054179754794,0.1655478990847839,0.3186768352668611,0.16279672430251718
5,3786,IDLGated,persistent_shift,shift_adaptation_350,0.84375,0.25426924228668213,1.0,0.9539780357166632,0.9334036454637877,1.1670509598654775,0.6490495282010211,0.11488404987703048,0.42030731175345204,0.26706947396125646
5,3787,MLP,persistent_shift,shift_adaptation_350,0.921875,0.1607005000114441,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3787,ChevronSlow,persistent_shift,shift_adaptation_350,0.96875,0.1352614164352417,1.0,0.8772266360504982,0.7061142312295536,0.983880073157743,0.3228854378918009,0.16587664423739581,0.3188071437152959,0.16324273850215762
5,3787,IDLGated,persistent_shift,shift_adaptation_350,0.890625,0.1739342212677002,1.0,0.8638135072011366,0.9299816736567085,1.1549214617589039,0.6492642921800212,0.11407522501410393,0.42089744763081943,0.26789995807640427
5,3788,MLP,persistent_shift,shift_adaptation_350,0.9375,0.17520958185195923,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3788,ChevronSlow,persistent_shift,shift_adaptation_350,0.953125,0.14601640403270721,1.0,0.8859136096288375,0.7057174209681416,0.9799614146165867,0.32344846606353794,0.16619645719688206,0.3189468368831691,0.1637052239924798
5,3788,IDLGated,persistent_shift,shift_adaptation_350,0.9375,0.17187204957008362,1.0,0.9186996564049129,0.9265093311634588,1.1454725895447442,0.6495337275442461,0.11327058427393841,0.4214861729152725,0.26877967263624947
5,3789,MLP,persistent_shift,shift_adaptation_350,0.90625,0.18558120727539062,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3789,ChevronSlow,persistent_shift,shift_adaptation_350,0.96875,0.13960349559783936,1.0,0.9363654442977449,0.7053049311424929,0.9782175758038331,0.3240613830417722,0.1663443752641878,0.31909058538736923,0.16417237402659032
5,3789,IDLGated,persistent_shift,shift_adaptation_350,0.921875,0.17427664995193481,1.0,1.00539471649114,0.9230170956028664,1.1398694746226001,0.649889588533193,0.11245988239682901,0.42208211647062827,0.2696820487801787
5,3790,MLP,persistent_shift,shift_adaptation_350,1.0,0.12358185648918152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3790,ChevronSlow,persistent_shift,shift_adaptation_350,1.0,0.09262172877788544,1.0,0.9402687745237119,0.704878667959908,0.9766996237526282,0.3246775904332541,0.16653365834928321,0.3192358121391296,0.16463872213079295
5,3790,IDLGated,persistent_shift,shift_adaptation_350,0.9375,0.1197860985994339,1.0,0.9636102291403956,0.9194938852030795,1.1328191048033118,0.6502033091738002,0.11165753996247747,0.4226686607651861,0.27058496535707793
5,3791,MLP,persistent_shift,shift_adaptation_350,0.96875,0.17287468910217285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3791,ChevronSlow,persistent_shift,shift_adaptation_350,0.96875,0.12652583420276642,1.0,0.9562867473590052,0.7044442298890824,0.9758831086968832,0.32530919959017984,0.16660435103145796,0.3193843486969892,0.1651092224980038
5,3791,IDLGated,persistent_shift,shift_adaptation_350,0.953125,0.14306531846523285,1.0,0.9190334711061091,0.9159282984424124,1.1242676794554238,0.6504721393357326,0.11083075015363175,0.42326696079320125,0.27151812011589876
5,3792,MLP,persistent_shift,shift_adaptation_350,0.953125,0.15399977564811707,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
