seed,t,model,phase,window,accuracy,loss,rho,diff,persistence,a_n_distance,n_move_from_temp_start,n_move_from_shift_start
1,2583,ChevronSlow,stable,other,0.953125,0.19275006651878357,1.0,0.09901741327930694,0.20056557707574488,0.019763312230676892,0.25916696299486935,0.0
1,2583,IDLGated,stable,other,0.953125,0.1960473656654358,0.00795340072363615,0.33329723245440823,0.3086914715961156,0.09547335570443674,0.28379229541191386,0.0
1,2584,MLP,stable,other,0.953125,0.2409576028585434,1.0,0.0,0.0,0.0,0.0,0.0
1,2584,ChevronSlow,stable,other,0.953125,0.223251610994339,1.0,0.05515423946902685,0.20012934306292474,0.019724757771991935,0.2592399778918754,0.0
1,2584,IDLGated,stable,other,0.953125,0.2412097305059433,0.007972589693963528,0.3491739566055867,0.308812919051144,0.09567644688281685,0.2837962778011738,0.0
1,2585,MLP,stable,other,0.96875,0.19197002053260803,1.0,0.0,0.0,0.0,0.0,0.0
1,2585,ChevronSlow,stable,other,0.96875,0.1884903460741043,1.0,0.05847133521136832,0.19970436903937008,0.019722967143822906,0.2593145340589878,0.0
1,2585,IDLGated,stable,other,0.96875,0.18253909051418304,0.007968185469508171,0.29953639895526624,0.30878508949085637,0.09590328641812541,0.28380042405506684,0.0
1,2586,MLP,stable,other,0.984375,0.09863726794719696,1.0,0.0,0.0,0.0,0.0,0.0
1,2586,ChevronSlow,stable,other,0.984375,0.09384828805923462,1.0,0.09176147028911937,0.19938054034311933,0.019764932628356192,0.25939288780829695,0.0
1,2586,IDLGated,stable,other,0.984375,0.08876480162143707,0.007988893426954746,0.35239093020662154,0.30891590701300364,0.09616282359803577,0.2838045413216647,0.0
1,2587,MLP,stable,other,0.984375,0.10579458624124527,1.0,0.0,0.0,0.0,0.0,0.0
1,2587,ChevronSlow,stable,other,0.984375,0.10009142756462097,1.0,0.07818235602259961,0.19901694579015777,0.019838141373577305,0.2594681804886767,0.0
1,2587,IDLGated,stable,other,0.984375,0.09597140550613403,0.008008364588022232,0.34980805495097184,0.30903858345681756,0.09641402748365686,0.28380860067592245,0.0
1,2588,MLP,stable,other,0.96875,0.15647010505199432,1.0,0.0,0.0,0.0,0.0,0.0
1,2588,ChevronSlow,stable,other,0.96875,0.1710079163312912,1.0,0.052695563392844265,0.19857798164296583,0.019934935533816246,0.25954585524720303,0.0
1,2588,IDLGated,stable,other,0.96875,0.16376349329948425,0.00799779873341322,0.28685656044913554,0.3089720373877945,0.09665497059953446,0.28381277567567315,0.0
1,2589,MLP,stable,other,0.984375,0.09629363566637039,1.0,0.0,0.0,0.0,0.0,0.0
1,2589,ChevronSlow,stable,other,0.984375,0.10141155868768692,1.0,0.0779978826779182,0.1982162413460707,0.02001945222472658,0.2596295568329901,0.0
1,2589,IDLGated,stable,other,0.984375,0.0979379415512085,0.007998388260602951,0.31021884642169684,0.3089757778148962,0.09690029915430247,0.2838170759576282,0.0
1,2590,MLP,stable,other,0.953125,0.10484390705823898,1.0,0.0,0.0,0.0,0.0,0.0
1,2590,ChevronSlow,stable,other,0.953125,0.10847204923629761,1.0,0.08357221919004852,0.19787230927960262,0.020095857501500215,0.2597141586680272,0.0
1,2590,IDLGated,stable,other,0.953125,0.10365401208400726,0.008029920980334282,0.37508094750100396,0.30917409332395457,0.09714351517498691,0.28382143402443416,0.0
1,2591,MLP,stable,other,0.984375,0.10866896063089371,1.0,0.0,0.0,0.0,0.0,0.0
1,2591,ChevronSlow,stable,other,0.984375,0.10582046955823898,1.0,0.08384582851582877,0.1975302298373113,0.02004273836852228,0.2597761698616726,0.0
1,2591,IDLGated,stable,other,0.984375,0.10816323012113571,0.008068675175309181,0.39006539279136737,0.30941676722235684,0.09733304320908345,0.2838255895523593,0.0
1,2592,MLP,stable,other,0.953125,0.17135463654994965,1.0,0.0,0.0,0.0,0.0,0.0
1,2592,ChevronSlow,stable,other,0.953125,0.16053122282028198,1.0,0.07038171362067176,0.1971487842886614,0.0199764814163162,0.2598311837114394,0.0
1,2592,IDLGated,stable,other,0.953125,0.16409826278686523,0.008089164271950722,0.3520351190796253,0.30954462227792867,0.09751023792302298,0.2838295714744719,0.0
1,2593,MLP,stable,other,0.984375,0.09847357869148254,1.0,0.0,0.0,0.0,0.0,0.0
1,2593,ChevronSlow,stable,other,0.984375,0.09789390861988068,1.0,0.0798041544216657,0.19679675039906042,0.0199156308686081,0.259894988557464,0.0
1,2593,IDLGated,stable,other,0.984375,0.1115441769361496,0.00811629369854927,0.3657976085749968,0.3097133812368199,0.09763165420065717,0.28383353405821116,0.0
1,2594,MLP,stable,other,0.984375,0.044969260692596436,1.0,0.0,0.0,0.0,0.0,0.0
1,2594,ChevronSlow,stable,other,0.984375,0.043599050492048264,1.0,0.09590648431425466,0.196494079600806,0.019862492578245558,0.2599582724603331,0.0
1,2594,IDLGated,stable,other,0.984375,0.046614114195108414,0.008154706098139286,0.38905297111825266,0.3099514000064642,0.09779175036709636,0.28383749658662977,0.0
1,2595,MLP,stable,other,0.96875,0.16625389456748962,1.0,0.0,0.0,0.0,0.0,0.0
1,2595,ChevronSlow,stable,other,0.96875,0.170094296336174,1.0,0.07574036036339343,0.19613181844309377,0.01981894846081133,0.26002645570352145,0.0
1,2595,IDLGated,stable,other,0.96875,0.1797339916229248,0.008191217668354511,0.3850254575679991,0.3101766221791488,0.09792975984046152,0.28384152654662737,0.0
1,2596,MLP,stable,other,0.96875,0.09583039581775665,1.0,0.0,0.0,0.0,0.0,0.0
1,2596,ChevronSlow,stable,other,0.96875,0.10219002515077591,1.0,0.053745168328950294,0.19570465849275132,0.01979045637616997,0.26008613031278194,0.0
1,2596,IDLGated,stable,other,0.953125,0.09874669462442398,0.008185640908777714,0.2987267710438782,0.310142272625743,0.09808798151355377,0.2838452672238422,0.0
1,2597,MLP,stable,other,0.96875,0.19240717589855194,1.0,0.0,0.0,0.0,0.0,0.0
1,2597,ChevronSlow,stable,other,0.96875,0.1818661093711853,1.0,0.0836738183380418,0.1953685659722872,0.019707083919398835,0.26014242508470553,0.0
1,2597,IDLGated,stable,other,0.96875,0.16904377937316895,0.008199931122362614,0.3394539377115391,0.3102302076210004,0.09817151951017176,0.28384906569613544,0.0
1,2598,MLP,stable,other,0.953125,0.18767660856246948,1.0,0.0,0.0,0.0,0.0,0.0
1,2598,ChevronSlow,stable,other,0.953125,0.20160019397735596,1.0,0.10684326113825068,0.1951029900577851,0.019638427502416077,0.26021087556984696,0.0
1,2598,IDLGated,stable,other,0.953125,0.20348002016544342,0.008237157016992569,0.38634836139274786,0.31045856208231565,0.09824915846120827,0.28385306657010717,0.0
1,2599,MLP,stable,other,0.921875,0.11537603288888931,1.0,0.0,0.0,0.0,0.0,0.0
1,2599,ChevronSlow,stable,other,0.921875,0.11740922182798386,1.0,0.11487893635235004,0.19486231789666877,0.019608730060534926,0.260253705811995,0.0
1,2599,IDLGated,stable,other,0.921875,0.11578893661499023,0.00826359074562788,0.36429948744071877,0.3106200848583908,0.09836134805215935,0.28385650824066877,0.0
1,2600,MLP,stable,other,0.984375,0.05228748172521591,1.0,0.0,0.0,0.0,0.0,0.0
1,2600,ChevronSlow,stable,other,0.984375,0.049495354294776917,1.0,0.05555226045448961,0.19444438772434222,0.019563720726657095,0.26029381662441703,0.0
1,2600,IDLGated,stable,other,1.0,0.047373928129673004,0.008265103213489056,0.31369994354916664,0.3106293244344631,0.09836450568567269,0.28385993058878417,0.0
1,2601,MLP,stable,other,0.953125,0.15980151295661926,1.0,0.0,0.0,0.0,0.0,0.0
1,2601,ChevronSlow,stable,other,0.953125,0.16985420882701874,1.0,0.05027072924130107,0.1940118667488931,0.019546477676972214,0.2603329541928718,0.0
1,2601,IDLGated,stable,other,0.953125,0.16690301895141602,0.008283517323434353,0.34802794525825254,0.31074152029693447,0.09836032562486975,0.2838633432553956,0.0
1,2602,MLP,stable,other,1.0,0.037910494953393936,1.0,0.0,0.0,0.0,0.0,0.0
1,2602,ChevronSlow,stable,other,1.0,0.03825317323207855,1.0,0.046628996653767976,0.19356971813860774,0.019560218027855486,0.2603729476973054,0.0
1,2602,IDLGated,stable,other,1.0,0.03776704519987106,0.008267824538052082,0.27887440758728416,0.3106459189588055,0.0983618001424702,0.28386675588097965,0.0
1,2603,MLP,stable,other,1.0,0.044416144490242004,1.0,0.0,0.0,0.0,0.0,0.0
1,2603,ChevronSlow,stable,other,1.0,0.042410511523485184,1.0,0.054497131769979466,0.19315250037950185,0.01960108680153351,0.26041769530112785,0.0
