seed,t,model,phase,window,y,pred,correct,loss,rho,diff,persistence
6,2817,ChevronSlow,post_shift,post_shift_200_800,0,0.6100181920541754,0,0.9416551872391745,1.0,0.8904651127517271,0.877678284655323
6,2817,IDLGated,post_shift,post_shift_200_800,0,0.5929072430871745,0,0.8987142155429887,0.9879271309774234,0.2118002230898537,0.31521128342970683
6,2818,MLP,post_shift,post_shift_200_800,1,0.7165849235577131,1,0.3332585131859203,1.0,0.0,0.0
6,2818,ChevronSlow,post_shift,post_shift_200_800,1,0.7613949673538399,1,0.27260304478261366,1.0,0.18331545236362934,0.8603192138480307
6,2818,IDLGated,post_shift,post_shift_200_800,1,0.7898474092767056,1,0.2359155049917738,0.9861587157778521,0.06341735441385798,0.3089164352043106
6,2819,MLP,post_shift,post_shift_200_800,1,0.8183886521733725,1,0.2004179303091655,1.0,0.0,0.0
6,2819,ChevronSlow,post_shift,post_shift_200_800,1,0.8256074475629213,1,0.19163586350710377,1.0,1.1655923488552897,0.8679510422232121
6,2819,IDLGated,post_shift,post_shift_200_800,1,0.8697084165877577,1,0.13959727685734794,0.9861621646268881,0.3093758887888114,0.3089279215439231
6,2820,MLP,post_shift,post_shift_200_800,1,0.6242894401202513,1,0.4711411718096149,1.0,0.0,0.0
6,2820,ChevronSlow,post_shift,post_shift_200_800,1,0.5757890923035635,1,0.5520138445340947,1.0,0.384333585107512,0.8558606057953195
6,2820,IDLGated,post_shift,post_shift_200_800,1,0.5395307851742214,1,0.6170554334944823,0.9841559102621719,0.059061580349182886,0.30268126301405457
6,2821,MLP,post_shift,post_shift_200_800,1,0.8582402024034803,1,0.15287126249338162,1.0,0.0,0.0
6,2821,ChevronSlow,post_shift,post_shift_200_800,1,0.8494651463001107,1,0.1631483671990569,1.0,1.664053233077782,0.876065421477381
6,2821,IDLGated,post_shift,post_shift_200_800,1,0.8948698410208131,1,0.11107700031013244,0.9852575043261165,0.43573773748986605,0.3060076748759498
6,2822,MLP,post_shift,post_shift_200_800,1,0.43005848929894974,0,0.8438340579191669,1.0,0.0,0.0
6,2822,ChevronSlow,post_shift,post_shift_200_800,1,0.4728783532489791,0,0.7489171048587827,1.0,1.427489893365427,0.889851033274582
6,2822,IDLGated,post_shift,post_shift_200_800,1,0.42510517022647265,0,0.8554186813143303,0.9858649509157141,0.383631434256392,0.3079482688604609
6,2823,MLP,post_shift,post_shift_200_800,1,0.7867456201081102,1,0.23985031012256697,1.0,0.0,0.0
6,2823,ChevronSlow,post_shift,post_shift_200_800,1,0.7723776056409017,1,0.25828172206287187,1.0,1.2205744253573376,0.8981191180766509
6,2823,IDLGated,post_shift,post_shift_200_800,1,0.7995302403885456,1,0.22373092329768177,0.9857045329940021,0.28713415624475386,0.30742791604506825
6,2824,MLP,post_shift,post_shift_200_800,1,0.7451712356118675,1,0.2941412405543455,1.0,0.0,0.0
6,2824,ChevronSlow,post_shift,post_shift_200_800,1,0.7695724626996595,1,0.2619201615862181,1.0,0.5349145944552841,0.8890390049861168
6,2824,IDLGated,post_shift,post_shift_200_800,1,0.7952916789487096,1,0.22904633985674577,0.9846672039598605,0.17814700830865077,0.3041958933516578
6,2825,MLP,post_shift,post_shift_200_800,0,0.693152574932619,0,1.1814046416849902,1.0,0.0,0.0
6,2825,ChevronSlow,post_shift,post_shift_200_800,0,0.7243179677774931,0,1.2885071345577974,1.0,0.15840252450833445,0.8707730929741722
